,t_cap,t_hh,xlong,ylat
146,2000.0,78.0,239.67122999999998,45.93489
147,2000.0,78.0,239.73399,45.92547
148,2000.0,78.0,239.74398,45.91511
149,2000.0,78.0,239.66956,45.93744
150,2000.0,78.0,239.70841000000001,45.95429
151,2000.0,78.0,239.69847,45.94672
152,2000.0,78.0,239.73910999999998,45.919
153,2000.0,78.0,239.7327,45.93016
154,2000.0,78.0,239.69891,45.9702
155,2000.0,78.0,239.73538000000002,45.92306
156,2000.0,78.0,239.73723999999999,45.92101
157,2000.0,78.0,239.69891,45.97269
158,2000.0,78.0,239.70521,45.9586
159,2000.0,78.0,239.70081,45.96529
160,2000.0,78.0,239.70361,45.96079
161,2000.0,78.0,239.71080999999998,45.95229
162,1650.0,80.0,239.36481,45.65429
163,1650.0,80.0,239.38031999999998,45.68879
164,1650.0,80.0,239.36051,45.64319
165,1650.0,80.0,239.40102000000002,45.65699
166,1650.0,80.0,239.40510999999998,45.68509
167,1650.0,80.0,239.36031,45.64
168,1650.0,80.0,239.37041,45.66729
169,1650.0,80.0,239.38332,45.64819
170,1650.0,80.0,239.41692,45.6759
171,1650.0,80.0,239.36011000000002,45.63689
172,1650.0,80.0,239.36651999999998,45.68979
173,1650.0,80.0,239.40621,45.66259
174,1650.0,80.0,239.36611,45.68399
175,1650.0,80.0,239.40474,45.68002
176,1650.0,80.0,239.38371,45.64579
177,1650.0,80.0,239.40491,45.66079
178,1650.0,80.0,239.37081,45.66559
179,1650.0,80.0,239.38042000000002,45.6508
180,1650.0,80.0,239.37821,45.67799
181,1650.0,80.0,239.36462,45.6765
182,1650.0,80.0,239.38301,45.67469
183,1650.0,80.0,239.38991,45.6662
184,1650.0,80.0,239.39891,45.67679
185,1650.0,80.0,239.41651000000002,45.67099
186,1650.0,80.0,239.39712,45.65239
187,1650.0,80.0,239.38602,45.67189
188,1650.0,80.0,239.36031,45.64489
189,1650.0,80.0,239.38200999999998,45.64959
190,1650.0,80.0,239.37862,45.65249
191,1650.0,80.0,239.38431,45.64389
192,1650.0,80.0,239.36201,45.65149
193,1650.0,80.0,239.36051,45.6465
